1,13
2,4
3,1
4,13
5,11
6,9
7,8
8,2
9,7
10,13
11,12
12,7
13,3
14,10
15,13
16,4
17,6
18,3
19,4
20,4
21,5
22,13
23,10
24,5
25,10
26,5
27,10
28,11
29,6
30,4
31,1
32,5
33,5
34,6
35,3
36,9
37,7
38,1
39,10
40,10
41,3
42,10
43,2
44,3
45,7
46,5
47,8
48,9
49,12
50,4
51,9
52,5
53,1
54,2
55,6
56,1
57,11
58,5
59,13
60,5
61,2
62,6
63,6
64,12
65,2
66,3
67,10
68,4
69,1
70,1
71,13
72,3
73,1
74,8
75,2
76,2
77,10
78,12
79,2
80,6
81,12
82,10
83,2
84,13
85,7
86,13
87,10
88,3
89,11
90,4
91,2
92,10
93,3
94,8
95,7
96,12
97,6
98,3
99,7
100,5
101,1
102,9
103,4
104,11
105,5
106,11
107,9
108,7
109,13
110,11
111,9
112,11
113,5
114,6
115,2
